GEOSTAT_gr;GRD_ID;kolej;10km;15km;20km
216;1kmN3072E4934;;;;
273;1kmN3073E4934;;;;
94;1kmN3074E4934;;;;
26;1kmN3075E4934;;;;5
33;1kmN3076E4934;;;;5
239;1kmN3077E4934;;;;
52;1kmN3078E4934;;;;
9;1kmN3080E4934;;;;
73;1kmN3081E4934;;;;
1194;1kmN3031E4935;;;;
915;1kmN3032E4935;;;;
368;1kmN3033E4935;;;;
59;1kmN3037E4935;;;;
75;1kmN3038E4935;;;;
4823;1kmN3039E4935;;;;
509;1kmN3040E4935;;;;5
4718;1kmN3044E4935;;;;
865;1kmN3045E4935;;;;
130;1kmN3046E4935;;0;5;
132;1kmN3047E4935;;;;
37;1kmN3049E4935;;;;
3;1kmN3050E4935;;;;
10;1kmN3052E4935;;;;
25;1kmN3054E4935;;5;;
1376;1kmN3055E4935;;5;;
6235;1kmN3056E4935;;;;
5236;1kmN3057E4935;;;;1
1;1kmN3058E4935;1;;;1
6876;1kmN3059E4935;1;;;1
1027;1kmN3060E4935;;;;1
674;1kmN3061E4935;;;;
16;1kmN3062E4935;;5;;
66;1kmN3064E4935;;5;;
274;1kmN3067E4935;;;;
83;1kmN3069E4935;;;;1
23;1kmN3070E4935;;;5;1
55;1kmN3075E4935;;;;
178;1kmN3076E4935;;;;5
17;1kmN3084E4935;;;;
329;1kmN3085E4935;;;;
674;1kmN3031E4936;;;;
860;1kmN3032E4936;;;;
121;1kmN3033E4936;;;;
1;1kmN3035E4936;;;;
66;1kmN3036E4936;;;;0
735;1kmN3037E4936;;;;
186;1kmN3038E4936;;;;
5708;1kmN3039E4936;;;;5
264;1kmN3040E4936;;;;5
361;1kmN3041E4936;;;0;
134;1kmN3042E4936;;;;
147;1kmN3043E4936;;;;
121;1kmN3044E4936;;;;
74;1kmN3045E4936;;;5;
309;1kmN3046E4936;;0;5;
791;1kmN3047E4936;;;;
608;1kmN3048E4936;;;;
3682;1kmN3049E4936;;;;
3699;1kmN3050E4936;;;;
192;1kmN3051E4936;;5;;
8207;1kmN3054E4936;;;;
6542;1kmN3055E4936;;;;1
12245;1kmN3056E4936;;;;1
2289;1kmN3057E4936;1;;;1
3604;1kmN3058E4936;1;;;
3042;1kmN3059E4936;;;;
181;1kmN3060E4936;;;;
233;1kmN3064E4936;;5;;
66;1kmN3065E4936;;5;;
9;1kmN3066E4936;;0;;
225;1kmN3067E4936;;;;
52;1kmN3068E4936;;;;
2;1kmN3070E4936;;;;
26;1kmN3071E4936;;;5;
1;1kmN3076E4936;;;;5
15;1kmN3078E4936;;;;
121;1kmN3082E4936;;;;
51;1kmN3083E4936;;;;
36;1kmN3084E4936;;;;
417;1kmN3085E4936;;;;
19;1kmN3036E4937;;;;0
559;1kmN3037E4937;;;;
1246;1kmN3038E4937;;;;
638;1kmN3039E4937;;;;5
