0,"LINESTRING (18.9868701597 50.1188861118, 18.8786770128 50.3932418363)",16,71
0,"LINESTRING (18.9868701597 50.1188861118, 17.0379891776 51.0981342897)",16,186
0,"LINESTRING (18.9868701597 50.1188861118, 18.8823899859 50.1084672676)",16,233
0,"LINESTRING (18.9868701597 50.1188861118, 19.2486732105 50.3160035789)",16,375
0,"LINESTRING (19.1207113102 50.291857429, 18.8786770128 50.3932418363)",17,71
6,"LINESTRING (19.1207113102 50.291857429, 17.0379891776 51.0981342897)",17,186
0,"LINESTRING (19.1207113102 50.291857429, 18.8823899859 50.1084672676)",17,233
0,"LINESTRING (19.1207113102 50.291857429, 19.2486732105 50.3160035789)",17,375
5,"LINESTRING (18.8934077673 50.3421373537, 18.8786770128 50.3932418363)",18,71
5,"LINESTRING (18.8934077673 50.3421373537, 17.0379891776 51.0981342897)",18,186
0,"LINESTRING (18.8934077673 50.3421373537, 18.8823899859 50.1084672676)",18,233
0,"LINESTRING (18.8934077673 50.3421373537, 19.2486732105 50.3160035789)",18,375
2,"LINESTRING (18.9783848259 50.272490931, 18.8786770128 50.3932418363)",19,71
1,"LINESTRING (18.9783848259 50.272490931, 17.0379891776 51.0981342897)",19,186
0,"LINESTRING (18.9783848259 50.272490931, 18.8823899859 50.1084672676)",19,233
0,"LINESTRING (18.9783848259 50.272490931, 19.2486732105 50.3160035789)",19,375
2,"LINESTRING (18.8851921162 50.3166098311, 18.8786770128 50.3932418363)",20,71
6,"LINESTRING (18.8851921162 50.3166098311, 17.0379891776 51.0981342897)",20,186
0,"LINESTRING (18.8851921162 50.3166098311, 18.8823899859 50.1084672676)",20,233
0,"LINESTRING (18.8851921162 50.3166098311, 19.2486732105 50.3160035789)",20,375
2,"LINESTRING (19.0559709606 50.2654729797, 18.8786770128 50.3932418363)",21,71
0,"LINESTRING (19.0559709606 50.2654729797, 17.0379891776 51.0981342897)",21,186
0,"LINESTRING (19.0559709606 50.2654729797, 18.8823899859 50.1084672676)",21,233
0,"LINESTRING (19.0559709606 50.2654729797, 19.2486732105 50.3160035789)",21,375
0,"LINESTRING (18.9021742297 50.1710650469, 18.8786770128 50.3932418363)",22,71
0,"LINESTRING (18.9021742297 50.1710650469, 17.0379891776 51.0981342897)",22,186
0,"LINESTRING (18.9021742297 50.1710650469, 18.8823899859 50.1084672676)",22,233
0,"LINESTRING (18.9021742297 50.1710650469, 19.2486732105 50.3160035789)",22,375
2,"LINESTRING (18.9609957647 50.2863781742, 18.8786770128 50.3932418363)",23,71
1,"LINESTRING (18.9609957647 50.2863781742, 17.0379891776 51.0981342897)",23,186
0,"LINESTRING (18.9609957647 50.2863781742, 18.8823899859 50.1084672676)",23,233
0,"LINESTRING (18.9609957647 50.2863781742, 19.2486732105 50.3160035789)",23,375
0,"LINESTRING (18.9730017838 50.2631762295, 18.8786770128 50.3932418363)",24,71
2,"LINESTRING (18.9730017838 50.2631762295, 17.0379891776 51.0981342897)",24,186
0,"LINESTRING (18.9730017838 50.2631762295, 18.8823899859 50.1084672676)",24,233
0,"LINESTRING (18.9730017838 50.2631762295, 19.2486732105 50.3160035789)",24,375
0,"LINESTRING (18.9801278431 50.126286565, 18.8786770128 50.3932418363)",25,71
4,"LINESTRING (18.9801278431 50.126286565, 17.0379891776 51.0981342897)",25,186
0,"LINESTRING (18.9801278431 50.126286565, 18.8823899859 50.1084672676)",25,233
0,"LINESTRING (18.9801278431 50.126286565, 19.2486732105 50.3160035789)",25,375
3,"LINESTRING (18.9390687113 50.2670616855, 18.8786770128 50.3932418363)",26,71
0,"LINESTRING (18.9390687113 50.2670616855, 17.0379891776 51.0981342897)",26,186
0,"LINESTRING (18.9390687113 50.2670616855, 18.8823899859 50.1084672676)",26,233
0,"LINESTRING (18.9390687113 50.2670616855, 19.2486732105 50.3160035789)",26,375
1,"LINESTRING (18.9952598205 50.1136864197, 18.8786770128 50.3932418363)",27,71
0,"LINESTRING (18.9952598205 50.1136864197, 17.0379891776 51.0981342897)",27,186
0,"LINESTRING (18.9952598205 50.1136864197, 18.8823899859 50.1084672676)",27,233
0,"LINESTRING (18.9952598205 50.1136864197, 19.2486732105 50.3160035789)",27,375
0,"LINESTRING (19.0087275829 50.2899665408, 18.8786770128 50.3932418363)",28,71
1,"LINESTRING (19.0087275829 50.2899665408, 17.0379891776 51.0981342897)",28,186
0,"LINESTRING (19.0087275829 50.2899665408, 18.8823899859 50.1084672676)",28,233
0,"LINESTRING (19.0087275829 50.2899665408, 19.2486732105 50.3160035789)",28,375
3,"LINESTRING (19.1830794439 50.3239995522, 18.8786770128 50.3932418363)",29,71
1,"LINESTRING (19.1830794439 50.3239995522, 17.0379891776 51.0981342897)",29,186
0,"LINESTRING (19.1830794439 50.3239995522, 18.8823899859 50.1084672676)",29,233
0,"LINESTRING (19.1830794439 50.3239995522, 19.2486732105 50.3160035789)",29,375
8,"LINESTRING (18.7761657984 50.3131874578, 18.8786770128 50.3932418363)",30,71
