1730,"LINESTRING (19.07741547 50.34740483, 19.08299446 50.34735006)"
1730,"LINESTRING (19.07741547 50.34740483, 19.06805992 50.34796623)"
324,"LINESTRING (19.08299446 50.34735006, 19.08299446 50.34735006)"
940,"LINESTRING (19.08299446 50.34735006, 19.08045173 50.35180686)"
2670,"LINESTRING (19.08299446 50.34735006, 19.08301592 50.34522762)"
597,"LINESTRING (19.10119057 50.34622723, 19.10616875 50.34704881)"
384,"LINESTRING (19.10119057 50.34622723, 19.09432411 50.34800731)"
597,"LINESTRING (19.10829306 50.34849339, 19.10616875 50.34704881)"
171,"LINESTRING (19.10829306 50.34849339, 19.11140442 50.35104697)"
308,"LINESTRING (19.08414245 50.3549695, 19.08414245 50.3549695)"
5,"LINESTRING (19.08414245 50.3549695, 19.07883167 50.3582346)"
11,"LINESTRING (19.08414245 50.3549695, 19.09081042 50.35007143)"
189,"LINESTRING (19.08414245 50.3549695, 19.08439 50.350475)"
195,"LINESTRING (19.08414245 50.3549695, 19.08549428 50.35555135)"
200,"LINESTRING (19.07883167 50.3582346, 19.08074141 50.35499004)"
195,"LINESTRING (19.07883167 50.3582346, 19.08549428 50.35555135)"
390,"LINESTRING (19.08308029 50.36581808, 19.08397079 50.35968569)"
2664,"LINESTRING (19.08138514 50.34531663, 19.08919573 50.34845916)"
6,"LINESTRING (19.08138514 50.34531663, 19.09432411 50.34800731)"
2670,"LINESTRING (19.08138514 50.34531663, 19.08301592 50.34522762)"
5,"LINESTRING (19.08074141 50.35499004, 19.08919573 50.34845916)"
195,"LINESTRING (19.08074141 50.35499004, 19.08439 50.350475)"
2,"LINESTRING (19.07490492 50.35345666, 19.07490492 50.35345666)"
3970,"LINESTRING (19.07490492 50.35345666, 19.08439 50.350475)"
562,"LINESTRING (19.07490492 50.35345666, 19.08045173 50.35180686)"
4282,"LINESTRING (19.07490492 50.35345666, 19.06376839 50.35627694)"
3964,"LINESTRING (19.09081042 50.35007143, 19.08439 50.350475)"
2965,"LINESTRING (19.09081042 50.35007143, 19.09432411 50.34800731)"
1410,"LINESTRING (19.09081042 50.35007143, 19.08934593 50.34650109)"
