GRD_ID,GEOSTAT_gr,GEOSTAT__1,GEOSTAT__2,GEOSTAT__3,GEOSTAT__4,GEOSTAT__5,prznagl,kolej,10km,15km,20km
1kmN3033E4928,3953,PL,A,2011,PL,0,,,,,
1kmN3034E4928,853,PL,A,2011,PL,0,,,,,
1kmN3035E4928,1310,PL,A,2011,PL,0,,,,,
1kmN3036E4928,739,PL,A,2011,PL,0,,,,,
1kmN3037E4928,558,PL,A,2011,PL,0,,,,,0
1kmN3038E4928,375,PL,A,2011,PL,0,,,,,0
1kmN3041E4928,23,PL,A,2011,PL,0,,,,,
1kmN3045E4928,44,PL,A,2011,PL,0,,,,,5
1kmN3046E4928,39,PL,A,2011,PL,0,,,,,5
1kmN3047E4928,142,PL,A,2011,PL,0,,,,,5
1kmN3051E4928,7,PL,A,2011,PL,0,,,0,,
1kmN3052E4928,31,PL,A,2011,PL,0,,,,,
1kmN3053E4928,93,PL,A,2011,PL,0,,,,,
1kmN3054E4928,604,PL,A,2011,PL,0,,,,,
1kmN3055E4928,49,PL,A,2011,PL,0,,,,,
1kmN3056E4928,8,PL,A,2011,PL,0,,,,,
1kmN3057E4928,19,PL,A,2011,PL,0,,,,,
1kmN3061E4928,212,PL,A,2011,PL,0,,,0,,
1kmN3062E4928,361,PL,A,2011,PL,0,,1,0,,
1kmN3063E4928,1,PL,A,2011,PL,0,,,0,,
1kmN3065E4928,7,PL,A,2011,PL,0,,,,,
1kmN3066E4928,1,PL,A,2011,PL,0,,,,,
1kmN3068E4928,460,PL,A,2011,PL,0,,1,,0,
1kmN3069E4928,213,PL,A,2011,PL,0,,1,,0,
1kmN3072E4928,26,PL,A,2011,PL,0,,,,,
1kmN3073E4928,108,PL,A,2011,PL,0,,,,,
1kmN3074E4928,2,PL,A,2011,PL,0,,,,,0
1kmN3076E4928,49,PL,A,2011,PL,0,,,,,
1kmN3077E4928,4,PL,A,2011,PL,0,,,,,
1kmN3078E4928,231,PL,A,2011,PL,0,,,,,
1kmN3079E4928,19,PL,A,2011,PL,0,,,,,
1kmN3081E4928,37,PL,A,2011,PL,0,,,,,
1kmN3083E4928,85,PL,A,2011,PL,0,,,,,
1kmN3031E4929,1121,PL,A,2011,PL,0,,,,,
1kmN3032E4929,4529,PL,A,2011,PL,0,,,,,
1kmN3033E4929,9175,PL,A,2011,PL,0,,,,,
1kmN3034E4929,7488,PL,A,2011,PL,0,,,,,
1kmN3035E4929,1278,PL,A,2011,PL,0,,,,,
1kmN3036E4929,2181,PL,A,2011,PL,0,,,,,
1kmN3037E4929,1181,PL,A,2011,PL,0,,,,,0
1kmN3038E4929,350,PL,A,2011,PL,0,,,,,
1kmN3039E4929,106,PL,A,2011,PL,0,,,,,
1kmN3040E4929,102,PL,A,2011,PL,0,,,,,
1kmN3041E4929,1079,PL,A,2011,PL,0,,,,,
1kmN3042E4929,70,PL,A,2011,PL,0,,,,0,
1kmN3046E4929,80,PL,A,2011,PL,0,,,,,
1kmN3047E4929,329,PL,A,2011,PL,0,,,,,
1kmN3048E4929,333,PL,A,2011,PL,0,,,0,,
1kmN3049E4929,45,PL,A,2011,PL,0,,,0,,
1kmN3050E4929,28,PL,A,2011,PL,0,,,,,
1kmN3051E4929,507,PL,A,2011,PL,0,,,,,
1kmN3052E4929,43,PL,A,2011,PL,0,,,,,
1kmN3053E4929,83,PL,A,2011,PL,0,,,,,
1kmN3056E4929,376,PL,A,2011,PL,0,,,,5,
1kmN3057E4929,421,PL,A,2011,PL,0,,,,5,
1kmN3058E4929,85,PL,A,2011,PL,0,,,,5,
1kmN3059E4929,558,PL,A,2011,PL,0,,,,5,
1kmN3060E4929,33,PL,A,2011,PL,0,,,,5,
1kmN3062E4929,17,PL,A,2011,PL,0,,1,,5,
1kmN3064E4929,138,PL,A,2011,PL,0,,,0,,
1kmN3065E4929,39,PL,A,2011,PL,0,,,,,
1kmN3068E4929,79,PL,A,2011,PL,0,,1,,,
1kmN3069E4929,288,PL,A,2011,PL,0,,,,0,
1kmN3071E4929,7,PL,A,2011,PL,0,,,,,5
1kmN3072E4929,11,PL,A,2011,PL,0,,,,,5
1kmN3073E4929,23,PL,A,2011,PL,0,,,,,
1kmN3074E4929,18,PL,A,2011,PL,0,,,,,
1kmN3075E4929,42,PL,A,2011,PL,0,,,,,0
1kmN3076E4929,49,PL,A,2011,PL,0,,,,,
1kmN3078E4929,58,PL,A,2011,PL,0,,,,,
1kmN3079E4929,259,PL,A,2011,PL,0,,,,,
1kmN3080E4929,16,PL,A,2011,PL,0,,,,,
1kmN3081E4929,32,PL,A,2011,PL,0,,,,,
1kmN3082E4929,57,PL,A,2011,PL,0,,,,,
1kmN3083E4929,104,PL,A,2011,PL,0,,,,,
1kmN3031E4930,561,PL,A,2011,PL,0,,,,,
1kmN3032E4930,1136,PL,A,2011,PL,0,,,,,
1kmN3033E4930,5526,PL,A,2011,PL,0,,,,,
1kmN3034E4930,2310,PL,A,2011,PL,0,,,,,
1kmN3035E4930,892,PL,A,2011,PL,0,,,,,
1kmN3036E4930,652,PL,A,2011,PL,0,,,,,
1kmN3037E4930,372,PL,A,2011,PL,0,,,,,0
1kmN3038E4930,550,PL,A,2011,PL,0,,,,,
1kmN3039E4930,958,PL,A,2011,PL,0,,,,,
1kmN3040E4930,42,PL,A,2011,PL,0,,,,,
1kmN3041E4930,581,PL,A,2011,PL,0,,,,,
1kmN3042E4930,35,PL,A,2011,PL,0,,,,0,
1kmN3045E4930,15,PL,A,2011,PL,0,,,,,
1kmN3046E4930,441,PL,A,2011,PL,0,,,,,
1kmN3047E4930,894,PL,A,2011,PL,0,,,,,
1kmN3048E4930,150,PL,A,2011,PL,0,,,0,,
1kmN3049E4930,4,PL,A,2011,PL,0,,,,,
1kmN3050E4930,46,PL,A,2011,PL,0,,,,,
1kmN3051E4930,851,PL,A,2011,PL,0,,,,5,
1kmN3052E4930,1026,PL,A,2011,PL,0,,,,5,
1kmN3053E4930,210,PL,A,2011,PL,0,,,,5,
1kmN3054E4930,47,PL,A,2011,PL,0,,,,5,
1kmN3055E4930,14,PL,A,2011,PL,0,,,,,
1kmN3056E4930,132,PL,A,2011,PL,0,,,,,
1kmN3058E4930,117,PL,A,2011,PL,0,,,,,
1kmN3059E4930,914,PL,A,2011,PL,0,,,,,
1kmN3060E4930,159,PL,A,2011,PL,0,,,,,
1kmN3061E4930,245,PL,A,2011,PL,0,,,,,
1kmN3064E4930,47,PL,A,2011,PL,0,,,0,5,
1kmN3065E4930,168,PL,A,2011,PL,0,,,,5,
1kmN3066E4930,24,PL,A,2011,PL,0,,,,,
1kmN3067E4930,38,PL,A,2011,PL,0,,1,,,
1kmN3068E4930,55,PL,A,2011,PL,0,,1,,,
1kmN3070E4930,315,PL,A,2011,PL,0,,,,0,
1kmN3071E4930,175,PL,A,2011,PL,0,,,,,
1kmN3072E4930,7,PL,A,2011,PL,0,,,,,5
1kmN3073E4930,198,PL,A,2011,PL,0,,,,,5
1kmN3075E4930,112,PL,A,2011,PL,0,,,,,0
1kmN3076E4930,216,PL,A,2011,PL,0,,,,,
1kmN3078E4930,10,PL,A,2011,PL,0,,,,,
1kmN3079E4930,680,PL,A,2011,PL,0,,,,,
1kmN3080E4930,475,PL,A,2011,PL,0,,,,,
1kmN3081E4930,30,PL,A,2011,PL,0,,,,,
1kmN3082E4930,8,PL,A,2011,PL,0,,,,,
1kmN3083E4930,27,PL,A,2011,PL,0,,,,,
1kmN3031E4931,2206,PL,A,2011,PL,0,,,,,
1kmN3032E4931,2003,PL,A,2011,PL,0,,,,,
1kmN3033E4931,3501,PL,A,2011,PL,0,,,,,
1kmN3034E4931,5479,PL,A,2011,PL,0,,,,,
1kmN3035E4931,272,PL,A,2011,PL,0,,,,,
1kmN3036E4931,546,PL,A,2011,PL,0,,,,,0
1kmN3037E4931,343,PL,A,2011,PL,0,,,,,0
1kmN3038E4931,159,PL,A,2011,PL,0,,,,,
1kmN3039E4931,424,PL,A,2011,PL,0,,,,,
1kmN3044E4931,156,PL,A,2011,PL,0,,,,,
1kmN3045E4931,393,PL,A,2011,PL,0,,,,,
1kmN3046E4931,208,PL,A,2011,PL,0,,,,,
1kmN3047E4931,309,PL,A,2011,PL,0,,,0,,
1kmN3048E4931,11,PL,A,2011,PL,0,,,0,,
1kmN3050E4931,43,PL,A,2011,PL,0,,,,5,
1kmN3051E4931,32,PL,A,2011,PL,0,,,,5,
1kmN3052E4931,12,PL,A,2011,PL,0,,,,,
1kmN3054E4931,1187,PL,A,2011,PL,0,,,,,
1kmN3055E4931,99,PL,A,2011,PL,0,,,,,
1kmN3058E4931,405,PL,A,2011,PL,0,,,,,
1kmN3059E4931,92,PL,A,2011,PL,0,,,,,
1kmN3064E4931,47,PL,A,2011,PL,0,,,0,,
1kmN3065E4931,30,PL,A,2011,PL,0,,,0,5,
1kmN3066E4931,154,PL,A,2011,PL,0,,1,,5,
1kmN3067E4931,179,PL,A,2011,PL,0,,1,,5,
1kmN3068E4931,61,PL,A,2011,PL,0,,,,,
1kmN3069E4931,11,PL,A,2011,PL,0,,,,,
1kmN3070E4931,40,PL,A,2011,PL,0,,,,0,
1kmN3072E4931,7,PL,A,2011,PL,0,,,,,
1kmN3073E4931,19,PL,A,2011,PL,0,,,,,5
1kmN3074E4931,37,PL,A,2011,PL,0,,,,,5
1kmN3075E4931,32,PL,A,2011,PL,0,,,,,0
1kmN3079E4931,36,PL,A,2011,PL,0,,,,,
1kmN3080E4931,230,PL,A,2011,PL,0,,,,,
1kmN3081E4931,9,PL,A,2011,PL,0,,,,,
1kmN3082E4931,17,PL,A,2011,PL,0,,,,,
1kmN3083E4931,11,PL,A,2011,PL,0,,,,,
